Simulation,D1,D2,K,O,best_order,best_delay1,best_delay2,best_mse,best_k,best_mae,best_r2,best_aic,best_bic,k_lower_limit,k_upper_limit,abs_error_order,abs_error_delay1,abs_error_delay2,abs_error_k
1,19.541317680384964,79.69258412800262,-2.273493401007727,1.054767977911979,1.0507649170889,28.55709008181477,93.77990373464239,0.057480167561160214,-2.9271260288793375,0.18961436290050224,0.94202687334209,0.13773813924217393,2.7528586560834336,-3.071191057753498,-2.7830610000051768,0.004003060823078997,9.015772401429807,14.087319606639767,0.6536326278716107
2,18.51985256606713,78.22516600706149,3.7408541992772366,1.7229816881008446,2.130128525026776,21.744341926961955,81.25461328481583,0.05768048931485743,4.097818045194446,0.18976415690008014,0.980682650010268,0.48911712715636213,3.104237643997622,3.98371489571155,4.211921194677341,0.40714683692593123,3.2244893608948253,3.0294472777543433,0.3569638459172091
3,34.31485790992156,34.20876858534757,-3.0366598174441606,2.676775650586933,4.632300992545683,28.140853980595153,31.28154685802209,0.061540740295031954,-2.0940601614247183,0.19713350128222148,0.898089346065062,7.03193986097051,9.64706037781177,-2.234010711493912,-1.9541096113555247,1.95552534195875,6.174003929326403,2.927221727325481,0.9425996560194423
4,18.46659193793312,78.80234798009042,-1.9720986008178445,3.2401071987114847,3.5926030751849427,16.047911148391982,76.9835052409903,0.07013137587137855,-1.758812976506877,0.21006068409049175,0.9350088512555925,20.2296989340482,22.84481945088946,-1.8508101194211408,-1.666815833592613,0.35249587647345804,2.4186807895411384,1.8188427391001198,0.21328562431096754
5,24.707870223093774,30.61247957625892,-0.5464553798083216,3.413189460057765,5.39419952750643,18.225543549914104,30.519039794519326,0.05428393334819409,-0.44711912086544675,0.18472598155232461,0.4715254192372227,-5.6406415351515875,-3.025521018310328,-0.5410304900505368,-0.35320775168035673,1.9810100674486653,6.482326673179671,0.093439781739594,0.09933625894287484
6,36.573636069428176,19.94656137994025,-3.6944464582484215,2.0535504766739905,2.948579109692688,35.307572906643436,20.419457033391886,0.12738075398134827,-3.1709274340932883,0.2759247675871476,0.907099851909524,80.50754760181076,83.12266811865202,-3.3722546054506592,-2.9696002627359173,0.8950286330186974,1.2660631627847394,0.4728956534516371,0.5235190241551333
7,24.50493817823008,42.16795252135489,-4.339023815700784,3.5294378749094903,5.039185551310011,22.665506970464413,41.95349796198167,0.06016748916108142,-3.8411757517655123,0.19370521059769516,0.9760922945347191,4.752648617293687,7.367769134134947,-3.9604435269607094,-3.721907976570315,1.5097476764005204,1.8394312077656672,0.21445455937322322,0.49784806393527203
8,28.79852260882035,9.615254338015802,4.525465426268056,1.597313668113202,2.521669909016361,29.260142073677436,9.60034521364701,0.13316882267120234,4.0591820575174316,0.30132213004435815,0.9724937652418784,84.99568486472864,87.6108053815699,3.9237423138406715,4.194621801194192,0.9243562409031589,0.4616194648570868,0.014909124368791993,0.4662833687506245
9,21.231501566711813,74.93404345412273,-1.762413956457749,2.5136792487464845,4.001097335815265,15.777990367825906,68.04816784469308,0.05548136631194516,-1.4230502641621094,0.18351331000332372,0.9219075373207714,-3.4369300224738595,-0.8218095056325998,-1.5052208815345136,-1.3408796467897053,1.4874180870687805,5.4535111988859075,6.885875609429647,0.33936369229563956
10,19.043205899652094,18.45874015928712,-4.358066915301606,1.683220834005624,2.2954004546404216,19.56788852797677,19.47272673580158,0.061656308657711933,-4.545189508366871,0.19342494041475106,0.9812511026400249,7.22143154366529,9.836552060506548,-4.669837479970794,-4.420541536762948,0.6121796206347976,0.5246826283246762,1.0139865765144584,0.1871225930652649
