Simulation,D1,D2,K,O,best_mse,best_k,best_mae,best_r_squared,best_aic,best_bic,k_lower_limit,k_upper_limit,abs_error_k
1,19.541317680384964,79.69258412800262,-2.273493401007727,1.054767977911979,0.9403713248610363,-0.32091253339567394,0.8241786638445716,0.05156390047699555,282.4160577248131,285.03117824165435,-0.5939695050529608,-0.04785556173838712,1.9525808676120529
2,18.51985256606713,78.22516600706149,3.7408541992772366,1.7229816881008446,2.984794822873607,0.04807390159678229,1.5783031969209582,0.0003842386590521274,399.0722155584094,401.6873360752507,-0.43840142911262137,0.534549232306186,3.6927802976804545
3,34.31485790992156,34.20876858534757,-3.0366598174441606,2.676775650586933,0.4310922254194447,0.5899449860269204,0.5743613446233601,0.2861169627120993,203.64082730793206,206.25594782477333,0.4050655209517269,0.7748244511021138,3.626604803471081
4,18.46659193793312,78.80234798009042,-1.9720986008178445,3.2401071987114847,1.0751520895602724,0.08907719510012761,0.9342865149356123,0.0036503846206574764,295.94425886089533,298.5593793777366,-0.2028930081959739,0.38104739839622914,2.061175795917972
5,24.707870223093774,30.61247957625892,-0.5464553798083216,3.413189460057765,0.09829285277666447,0.09441468838491307,0.2571095770572849,0.0430819773148724,54.325383469957046,56.940503986798305,0.0061342358890180415,0.1826951408808081,0.6408700681932347
6,36.573636069428176,19.94656137994025,-3.6944464582484215,2.0535504766739905,1.3350694546579984,0.2696193574094903,0.9593617455885572,0.026319548501338774,317.81289866979955,320.4280191866408,-0.05573416313321056,0.5949728779521911,3.9640658156579116
7,24.50493817823008,42.16795252135489,-4.339023815700784,3.5294378749094903,2.0368119445274835,0.9831472343958143,1.238006746438984,0.19066757252308375,360.47555083684085,363.0906713536821,0.5812832857950322,1.3850111829965965,5.322171050096599
8,28.79852260882035,9.615254338015802,4.525465426268056,1.597313668113202,4.722590217022082,0.4892190940229634,1.7367632748960753,0.02454138611297585,445.41368351805806,448.02880403489934,-0.12269958751054466,1.1011377755564715,4.036246332245093
9,21.231501566711813,74.93404345412273,-1.762413956457749,2.5136792487464845,0.7037807381216659,0.11597039546619263,0.7525717526803802,0.009397664846382159,253.1454529977849,255.76057351462617,-0.12025265245790275,0.352193443390288,1.8783843519239416
10,19.043205899652094,18.45874015928712,-4.358066915301606,1.683220834005624,3.2074811515766113,-0.4040556414452906,1.5541436716098027,0.024645876404690847,406.33966376155445,408.9547842783957,-0.9083517734393428,0.10024049054876161,3.9540112738563153
11,36.87206204654649,62.82184673531447,-0.2471836807671934,2.8250462976284325,0.06465351358960224,0.030908116872717096,0.1994778983459995,0.007281864961001472,12.015588142564695,14.630708659405954,-0.04068967793743164,0.10250591168286582,0.2780917976399105
12,38.15391731215641,31.17440241936129,-4.002360332524404,3.5812883111648266,0.6384197208213349,1.0869336949545794,0.6953562040291714,0.47880791859684513,243.30089013375184,245.9160106505931,0.8619470561653928,1.311920333743766,5.089294027478983
13,44.750757889356464,84.32338023313785,-0.2133615093771368,3.1746751586906607,0.06302095319538652,0.01605744227793165,0.19566267463936818,0.0020269837888773345,9.43249394150314,12.047614458344398,-0.054630617980708965,0.08674550253657227,0.22941895165506845
14,36.18019243935123,70.82734649966005,0.8750868134666234,4.6600211639888585,0.11024577776668339,-0.0687819620195419,0.2811827125261656,0.020859122826116572,65.91623441611875,68.53135493296001,-0.1622761391142797,0.024712215075195915,0.9438687754861653
15,36.481382764410235,12.683230827678926,-3.162916119908914,1.869856373872608,1.8365379041695442,0.03338406811619978,1.0598545167667965,0.00030116986107364685,350.02168847439793,352.6368089912392,-0.34821168148351955,0.4149798177159191,3.1963001880251136
16,26.29055368946865,71.93783677939791,-0.5999049672391265,4.488339740317314,0.11580869205955424,0.0676177349849067,0.27744238990941383,0.019222691483751997,70.88820248196305,73.50332299880431,-0.028206234837041558,0.16344170480685494,0.6675227022240331
17,13.523130897898229,56.642694049631245,-4.390829714247957,4.363569350447506,7.216157508716941,0.3859429492826819,2.393851052028355,0.010143230187945163,488.2341673402484,490.8492878570897,-0.3704658679476316,1.1423517665129954,4.776772663530639
18,13.064709662925452,59.57624540769029,-0.937341620447114,1.2644624295644462,0.27244365559423867,-0.18061410498369293,0.42784768968544495,0.056106518377161074,157.29291478063467,159.90803529747595,-0.32758858422134496,-0.0336396257460409,0.7567275154634211
19,32.2071108748205,72.04691607214045,0.8957978838589042,1.3239166899584234,0.10137649203190828,0.09362962797094226,0.25399370690955403,0.04116216454958754,57.445264787880234,60.06038530472149,0.003975103756187273,0.18328415218569727,0.8021682558879619
20,20.981196189764887,31.96161243959796,-3.6562309449072927,3.7759221256710584,2.166399438000318,0.7720433479235519,1.2656987689642538,0.12017273802977435,366.7053046836021,369.32042520044337,0.35759267628168584,1.186494019565418,4.428274292830845
21,33.15067443577573,56.825357693596736,-2.7197519142646343,1.480275070760399,0.528082064593948,-0.2595639134456965,0.5887254150807982,0.05956352341235949,224.13672192677598,226.75184244361725,-0.46418683891766294,-0.05494098797373009,2.460188000818938
22,43.767599599901594,78.44093726074787,0.3826929058413952,3.3672926598228514,0.061785819439143796,-0.016426449403297905,0.19952669621342606,0.0021633249400947463,7.433362331407409,10.048482848248668,-0.08641838212376933,0.05356548331717352,0.3991193552446931
23,31.59709141822532,31.908440927392803,-0.1168293610680848,1.4498843154869974,0.06112207575503805,-0.008087237819320253,0.19322542602094148,0.0005309277181607674,6.342484260617482,8.95760477745874,-0.07770220584566032,0.061527730207019814,0.10874212324876455
24,28.33967986190692,18.05218123004306,0.3213044570293277,3.376156684476882,0.07384734230152404,-0.031154678335060765,0.21399069111783142,0.006482624188490993,25.444302604416805,28.059423121258064,-0.1076739831267726,0.04536462645665107,0.35245913536438844
25,32.79691274603829,4.659662122954615,-2.0843065541703254,3.862354466225952,1.9267403281132596,-0.15728132012282722,1.0932013983298483,0.0063333794734911075,354.8643759202206,357.47949643706187,-0.5481358722648019,0.2335732320191474,1.9270252340474983
26,42.286359669175,84.35979570483323,-4.737547567347065,1.2654046970419586,1.2301425743837242,-0.349246195586559,0.902696760130285,0.04691412873515155,309.5457214641349,312.16084198097616,-0.6615528984126408,-0.036939492760477255,4.388301371760505
