Simulation,D1,D2,K,O,best_mse,best_k,best_mae,best_r_squared,best_aic,best_bic,k_lower_limit,k_upper_limit,abs_error_k
1,19.541317680384964,79.69258412800262,-2.273493401007727,1.054767977911979,0.9403713248610364,-0.3209125333956739,0.8241786638445716,0.0515639004769955,282.4160577248131,285.03117824165435,-0.5939695050529608,-0.0478555617383871,1.9525808676120529
2,18.51985256606713,78.22516600706149,3.7408541992772366,1.7229816881008446,2.984794822873607,0.0480739015967822,1.5783031969209582,0.0003842386590521,399.0722155584094,401.6873360752507,-0.4384014291126213,0.534549232306186,3.6927802976804553
3,34.31485790992156,34.20876858534757,-3.0366598174441606,2.676775650586933,0.4310922254194447,0.5899449860269204,0.5743613446233601,0.2861169627120993,203.64082730793208,206.25594782477333,0.4050655209517269,0.7748244511021138,3.626604803471081
4,18.46659193793312,78.80234798009042,-1.9720986008178445,3.2401071987114847,1.0751520895602724,0.0890771951001276,0.9342865149356124,0.0036503846206574,295.94425886089533,298.5593793777366,-0.2028930081959739,0.3810473983962291,2.061175795917972
5,24.70787022309377,30.61247957625892,-0.5464553798083216,3.413189460057765,0.0982928527766644,0.094414688384913,0.2571095770572849,0.0430819773148724,54.325383469957046,56.94050398679831,0.006134235889018,0.1826951408808081,0.6408700681932347
6,36.573636069428176,19.94656137994025,-3.6944464582484215,2.0535504766739905,1.3350694546579984,0.2696193574094903,0.9593617455885572,0.0263195485013387,317.81289866979955,320.4280191866408,-0.0557341631332105,0.5949728779521911,3.964065815657912
7,24.50493817823008,42.16795252135489,-4.339023815700784,3.5294378749094903,2.0368119445274835,0.9831472343958144,1.238006746438984,0.1906675725230837,360.47555083684085,363.0906713536821,0.5812832857950322,1.3850111829965963,5.322171050096599
8,28.79852260882035,9.615254338015802,4.525465426268056,1.597313668113202,4.722590217022082,0.4892190940229634,1.7367632748960753,0.0245413861129758,445.41368351805806,448.02880403489934,-0.1226995875105446,1.1011377755564715,4.036246332245093
9,21.231501566711813,74.93404345412273,-1.762413956457749,2.5136792487464845,0.7037807381216659,0.1159703954661926,0.7525717526803802,0.0093976648463821,253.1454529977849,255.76057351462617,-0.1202526524579027,0.352193443390288,1.8783843519239416
10,19.043205899652094,18.45874015928712,-4.358066915301606,1.683220834005624,3.2074811515766117,-0.4040556414452906,1.5541436716098027,0.0246458764046908,406.3396637615545,408.9547842783957,-0.9083517734393428,0.1002404905487616,3.9540112738563153
11,36.87206204654649,62.82184673531447,-0.2471836807671934,2.8250462976284325,0.0646535135896022,0.030908116872717,0.1994778983459995,0.0072818649610014,12.015588142564695,14.630708659405954,-0.0406896779374316,0.1025059116828658,0.2780917976399105
12,38.15391731215641,31.17440241936129,-4.002360332524404,3.5812883111648266,0.6384197208213349,1.0869336949545794,0.6953562040291714,0.4788079185968451,243.30089013375184,245.9160106505931,0.8619470561653928,1.311920333743766,5.089294027478983
13,44.750757889356464,84.32338023313785,-0.2133615093771368,3.1746751586906607,0.0630209531953865,0.0160574422779316,0.1956626746393681,0.0020269837888773,9.43249394150314,12.047614458344398,-0.0546306179807089,0.0867455025365722,0.2294189516550684
14,36.18019243935123,70.82734649966005,0.8750868134666234,4.6600211639888585,0.1102457777666833,-0.0687819620195419,0.2811827125261656,0.0208591228261165,65.91623441611875,68.53135493296001,-0.1622761391142797,0.0247122150751959,0.9438687754861652
15,36.48138276441024,12.683230827678926,-3.162916119908914,1.869856373872608,1.836537904169544,0.0333840681161997,1.0598545167667963,0.0003011698610736,350.02168847439793,352.6368089912392,-0.3482116814835195,0.4149798177159191,3.1963001880251136
16,26.29055368946865,71.93783677939791,-0.5999049672391265,4.488339740317314,0.1158086920595542,0.0676177349849067,0.2774423899094138,0.0192226914837519,70.88820248196305,73.50332299880431,-0.0282062348370415,0.1634417048068549,0.6675227022240331
17,13.523130897898229,56.642694049631245,-4.390829714247957,4.363569350447506,7.216157508716941,0.3859429492826819,2.393851052028355,0.0101432301879451,488.2341673402484,490.8492878570897,-0.3704658679476316,1.1423517665129954,4.776772663530639
